"id","houseno","houseno_specification","geo_long","geo_lat","address_specification_verbatim","street_id"
"3881","33",NULL,"2.35261","48.8413",NULL,"85"
"3882","15",NULL,"2.35054","48.8574",NULL,"908"
"3883","12",NULL,"2.36156","48.8584",NULL,"88"
"3884","2",NULL,"2.36156","48.8584",NULL,"88"
"3885","5",NULL,"2.32358","48.8479",NULL,"388"
"3886",NULL,NULL,"2.32612","48.8707",NULL,"92"
"3887","29",NULL,"2.33969","48.8504",NULL,"569"
"3888","3",NULL,"2.34025","48.866",NULL,"457"
"3889","50",NULL,"2.37095","48.8651",NULL,"94"
"3890","14",NULL,"0","0",NULL,"910"
"3891","40",NULL,"2.27144","48.8508","In Auteuil","911"
"3892","40",NULL,"2.37419","48.8683",NULL,"95"
"3893","7",NULL,"0","0","In Fontenay-aux-roses","912"
"3894","2",NULL,"2.33639","48.8653",NULL,"98"
"3895","2",NULL,"2.33639","48.8653",NULL,"98"
"3896","23",NULL,"2.33639","48.8653",NULL,"98"
"3897","43",NULL,"2.33969","48.8504",NULL,"569"
"3898","25",NULL,"2.33639","48.8653",NULL,"98"
"3899","35",NULL,"2.33639","48.8653",NULL,"98"
"3900","22",NULL,"2.3311","48.8436",NULL,"465"
"3901","27",NULL,"2.33639","48.8653",NULL,"98"
"3902","26",NULL,"2.33404","48.8817",NULL,"100"
"3903","39",NULL,"2.33404","48.8817",NULL,"100"
"3904","39",NULL,"2.34973","48.8626",NULL,"104"
"3905","35",NULL,"2.36751","48.8754",NULL,"105"
"3906","13",NULL,"2.34169","48.8731",NULL,"107"
"3907","98",NULL,"2.34444","48.8522",NULL,"110"
"3908","4",NULL,"2.34444","48.8522",NULL,"110"
"3909","15",NULL,"2.3439","48.8657",NULL,"112"
"3910","14",NULL,"2.3439","48.8657",NULL,"112"
"3911","3",NULL,"2.3235","48.8728",NULL,"113"
"3912","23",NULL,"2.3235","48.8728",NULL,"113"
"3913","6",NULL,"2.3426","48.8525",NULL,"913"
"3914","4",NULL,"2.33482","48.8704",NULL,"114"
"3915","3",NULL,"2.33482","48.8704",NULL,"114"
"3916","16",NULL,"2.34826","48.8848","In Montmartre","914"
"3917","21",NULL,"2.34826","48.8848","In Montmartre","914"
"3918","32",NULL,"2.32182","48.8859","In Batignolles","915"
"3919","9",NULL,"2.34247","48.8521",NULL,"689"
"3920","9",NULL,"2.33113","48.8691",NULL,"119"
"3921","42",NULL,"2.32187","48.8751",NULL,"121"
